Step,Source,Destination
1,A01,A01
2,B01,B01
3,C01,C01
4,D01,D01
5,E01,E01
6,F01,F01
7,G01,G01
8,H01,H01
9,A02,A02
10,B02,B02
11,C02,C02
12,D02,D02
13,E02,E02
14,F02,F02
15,G02,G02
16,H02,H02
17,A03,A03
18,B03,B03
19,C03,C03
20,D03,D03
21,E03,E03
22,F03,F03
23,G03,G03
24,H03,H03
25,A04,A04
26,B04,B04
27,C04,C04
28,D04,D04
29,E04,E04
30,F04,F04
31,G04,G04
32,H04,H04
33,A05,A05
34,B05,B05
35,C05,C05
36,D05,D05
37,E05,E05
38,F05,F05
39,G05,G05
40,H05,H05
41,A06,A06
42,B06,B06
43,C06,C06
44,D06,D06
45,E06,E06
46,F06,F06
47,G06,G06
48,H06,H06
49,A07,A07
50,B07,B07
51,C07,C07
52,D07,D07
53,E07,E07
54,F07,F07
55,G07,G07
56,H07,H07
57,A08,A08
58,B08,B08
59,C08,C08
60,D08,D08
61,E08,E08
62,F08,F08
63,G08,G08
64,H08,H08
65,A09,A09
66,B09,B09
67,C09,C09
68,D09,D09
69,E09,E09
70,F09,F09
71,G09,G09
72,H09,H09
73,A10,A10
74,B10,B10
75,C10,C10
76,D10,D10
77,E10,E10
78,F10,F10
79,G10,G10
80,H10,H10
81,A11,A11
82,B11,B11
83,C11,C11
84,D11,D11
85,E11,E11
86,F11,F11
87,G11,G11
88,H11,H11
89,A12,A12
90,B12,B12
91,C12,C12
92,D12,D12
93,E12,E12
94,F12,F12
95,G12,G12
96,H12,H12
